Date,Name,Year,Letterboxd URI
2020-07-15,The Empire Strikes Back,1980,https://boxd.it/27Vw
2020-07-17,Return of the Jedi,1983,https://boxd.it/27Vm
2020-07-22,Donnie Darko,2001,https://boxd.it/2b2A
2020-07-23,Thor,2011,https://boxd.it/1WQU
2020-07-23,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc
2020-07-24,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2
2020-08-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-10-14,Boogie Nights,1997,https://boxd.it/23um
2020-12-22,Saw 3D,2010,https://boxd.it/Znk
2021-01-10,Sound of Metal,2019,https://boxd.it/i7Q4
2021-01-12,The Queen's Gambit,2020,https://boxd.it/s1Ym
2021-01-14,Holmes & Watson,2018,https://boxd.it/f6tM
2021-01-25,Moonrise Kingdom,2012,https://boxd.it/2Wng
2021-01-31,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US
2021-01-31,The Prestige,2006,https://boxd.it/293w
2021-03-17,Zodiac,2007,https://boxd.it/27MO
2021-03-24,Shazam!,2019,https://boxd.it/8WBu
2021-03-27,The Art of Self-Defense,2019,https://boxd.it/hf5y
2021-03-27,Pineapple Express,2008,https://boxd.it/1WRS
2021-03-28,Spider-Man: Far from Home,2019,https://boxd.it/fegG
2021-03-28,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0
2021-03-29,Bad Trip,2021,https://boxd.it/lgRG
2021-04-11,Glass,2019,https://boxd.it/g3uO
2021-04-17,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw
2021-04-20,Love and Monsters,2020,https://boxd.it/lJ6E
2021-04-20,Save Ralph,2021,https://boxd.it/ux2o
2021-04-26,Words on Bathroom Walls,2020,https://boxd.it/j1iW
2021-05-05,Get Smart,2008,https://boxd.it/1Tig
2021-05-06,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm
2021-05-07,Nightcrawler,2014,https://boxd.it/780m
2021-05-15,Tower Heist,2011,https://boxd.it/iQI
2021-05-24,The Hitman's Bodyguard,2017,https://boxd.it/dCmO
2021-06-27,The Belko Experiment,2016,https://boxd.it/blCw
2021-07-01,Luca,2021,https://boxd.it/ipjC
2021-07-01,Soul,2020,https://boxd.it/ioLA
2021-07-01,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2021-07-09,Loki,2021,https://boxd.it/sbHg
